,DMB006,MB002,MB511H,RCMB28,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000264341.1|ENSG00000264341,0,0,0,0,1,0,0,0
ENSG00000236948.2|ENSG00000236948,0,0,0,0,0,0,4,0
ENSG00000289893.1|ENSG00000289893,0,0,0,0,18,0,5,7
ENSG00000131697.18|NPHP4,2388,1362,1306,1032,955,1088,561,862
ENSG00000069424.16|KCNAB2,616,188,615,767,195,330,317,531
ENSG00000264101.1|MIR4689,4,0,0,0,0,0,1,2
ENSG00000173673.8|HES3,0,0,0,0,12,0,0,0
ENSG00000158292.7|GPR153,117,266,482,47,958,41,502,490
ENSG00000069812.11|HES2,105,9,21,3,149,5,144,26
ENSG00000097021.20|ACOT7,694,1899,2068,879,346,1348,246,299
ENSG00000271746.1|ENSG00000271746,30,60,66,69,8,28,11,12
ENSG00000116254.18|CHD5,637,35,155,262,113,99,150,23
ENSG00000285629.1|ENSG00000285629,185,7,1366,0,4,2,0,0
ENSG00000116251.11|RPL22,6578,44404,44470,15889,2703,21560,5383,6910
ENSG00000158286.13|RNF207,354,1775,3351,380,82,1513,139,307
ENSG00000116237.16|ICMT,1889,4265,3265,1079,1141,2306,1274,1717
ENSG00000225077.3|ICMT-DT,9,25,6,6,8,0,7,14
ENSG00000226944.1|RNF207-AS1,0,125,165,0,0,41,0,10
ENSG00000228750.7|LINC01672,0,1,0,0,1,0,3,2
ENSG00000284744.1|ENSG00000284744,0,0,0,0,0,0,0,0
ENSG00000237436.1|CAMTA1-DT,19,55,72,23,22,25,0,34
ENSG00000041988.16|THAP3,560,962,1245,654,411,605,325,318
ENSG00000007923.17|DNAJC11,2276,5339,4567,2020,1306,3110,1012,1384
ENSG00000265392.1|MIR4252,0,0,0,0,0,0,0,0
ENSG00000187017.18|ESPN,14,0,11,52,11,0,6,14
ENSG00000215788.11|TNFRSF25,372,0,9,496,461,287,255,65
ENSG00000171680.23|PLEKHG5,933,13,141,1486,1018,778,707,357
ENSG00000253022.1|RNU6-731P,0,0,0,0,0,0,0,1
ENSG00000162408.11|NOL9,3167,4630,4792,2605,1261,3035,1476,1674
ENSG00000173662.21|TAS1R1,0,0,0,20,0,0,4,0
ENSG00000204859.13|ZBTB48,1133,1023,1157,882,551,869,442,554
ENSG00000162413.17|KLHL21,377,3830,2201,566,150,1452,478,470
ENSG00000116273.6|PHF13,1074,537,804,647,467,594,372,505
ENSG00000231868.1|ENSG00000231868,0,1,0,2,1,1,1,1
ENSG00000229519.2|ENSG00000229519,0,0,2,1,1,1,1,1
ENSG00000049245.13|VAMP3,804,345,1692,1071,525,914,505,554
ENSG00000269925.1|ENSG00000269925,37,36,51,40,16,14,23,19
ENSG00000049246.15|PER3,973,215,490,1089,620,810,355,392
ENSG00000236266.1|ENSG00000236266,0,0,0,0,0,0,0,0
ENSG00000049247.14|UTS2,0,0,1,0,0,0,2,3
ENSG00000171735.20|CAMTA1,1864,2321,2295,3933,4023,1801,1667,1298
ENSG00000237365.1|ENSG00000237365,0,0,0,0,0,0,0,0
ENSG00000207056.1|RNU1-8P,0,2,0,0,3,0,1,0
ENSG00000237728.2|CAMTA1-AS2,0,0,2,0,0,0,2,0
ENSG00000225126.1|CAMTA1-AS1,21,0,2,3,4,2,4,1
ENSG00000227950.1|ENSG00000227950,0,0,0,0,0,0,0,0
ENSG00000237402.1|CAMTA1-IT1,9,9,4,6,11,3,7,3
ENSG00000270171.1|ENSG00000270171,88,9,16,270,244,48,92,77
ENSG00000270035.1|ENSG00000270035,73,5,27,58,76,11,35,54
ENSG00000269978.1|ENSG00000269978,50,7,25,86,112,29,24,75
ENSG00000049249.10|TNFRSF9,167,0,0,5,30,5,19,12
ENSG00000270330.1|ENSG00000270330,0,0,0,0,2,0,2,4
ENSG00000116288.13|PARK7,2726,6854,7930,3191,1711,5077,2019,1945
ENSG00000200344.1|Y_RNA,2,0,0,0,0,0,0,0
ENSG00000116285.13|ERRFI1,531,136,844,539,547,686,913,705
ENSG00000284747.1|ENSG00000284747,96,9,45,34,28,19,21,14
ENSG00000284716.1|ENSG00000284716,0,2,0,0,0,0,6,0
ENSG00000238290.1|ERRFI1-DT,4,0,0,7,13,0,27,26
ENSG00000232848.1|RPL7AP18,121,760,967,201,54,459,0,0
ENSG00000200975.1|RNU1-7P,0,0,0,0,0,0,5,0
ENSG00000227634.3|LINC01714,0,0,0,0,0,0,0,0
ENSG00000229305.1|ENSG00000229305,0,0,0,0,0,0,3,2
ENSG00000288816.1|ENSG00000288816,0,0,0,0,8,0,0,0
ENSG00000233645.1|ENSG00000233645,0,0,0,0,0,0,0,0
ENSG00000162426.16|SLC45A1,79,4,40,298,9,28,48,81
ENSG00000252254.1|Y_RNA,0,0,0,3,1,0,0,0
ENSG00000142599.20|RERE,4695,6772,4561,5725,5953,4040,2776,2034
ENSG00000232912.6|RERE-AS1,0,0,0,0,0,0,0,0
ENSG00000221083.1|ENSG00000221083,4,9,2,15,7,1,3,2
ENSG00000270282.1|ENSG00000270282,0,0,0,0,0,0,0,0
ENSG00000234619.1|RPL7P11,67,506,943,137,26,225,61,176
ENSG00000224315.2|RPL7P7,70,62,60,82,52,25,26,25
ENSG00000222511.2|Y_RNA,6,7,3,8,7,4,3,3
ENSG00000226545.1|ENSG00000226545,0,1,0,1,1,0,2,1
ENSG00000228423.2|ENSG00000228423,53,23,14,55,44,15,14,21
ENSG00000229716.2|RPL23AP19,1,1,0,1,8,0,0,3
ENSG00000232208.2|ENSG00000232208,20,18,42,17,26,23,12,27
ENSG00000238249.2|HMGN2P17,209,336,339,229,163,263,161,156
ENSG00000131686.15|CA6,2,0,0,0,2,0,4,2
ENSG00000290109.1|ENSG00000290109,1,0,0,1,2,1,2,2
ENSG00000265141.2|RN7SL451P,0,0,0,0,2,0,2,0
ENSG00000197241.4|SLC2A7,0,0,0,0,0,0,4,0
ENSG00000142583.18|SLC2A5,0,5,11,43,15,25,10,19
ENSG00000180758.12|GPR157,19,2,54,27,7,9,11,5
ENSG00000284357.1|MIR34A,1,1,1,0,0,0,1,1
ENSG00000228526.8|MIR34AHG,908,36,562,44,16,152,363,90
ENSG00000234546.5|LNCTAM34A,82,0,26,0,2,0,20,0
ENSG00000252404.1|ENSG00000252404,0,0,0,0,0,0,1,0
ENSG00000289914.1|ENSG00000289914,25,0,12,2,0,0,15,3
ENSG00000049239.13|H6PD,1356,460,950,1698,532,1270,426,1004
ENSG00000171621.14|SPSB1,60,162,1328,13,5,79,51,158
