,BT084,DMB006,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32,RCMB38,RCMB40,RCMB45,RCMB51
ENSG00000235023.1,94,28,18,14,95,56,59,32,247,27,128,119
ENSG00000176973.7,1084,1215,1618,1972,1583,2186,1003,986,1012,2295,374,670
ENSG00000279115.2,6,2,2,27,31,22,5,6,1,10,4,5
ENSG00000211682.2,18,0,0,0,0,0,0,3,2,0,0,2
ENSG00000231630.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205433.4,2,0,0,0,0,0,0,2,4,0,0,0
ENSG00000249514.1,0,0,0,0,0,0,0,7,0,0,0,2
ENSG00000159479.16,1192,1447,646,2367,3724,2436,937,511,1021,1998,1123,1554
ENSG00000112511.17,630,1569,598,635,1025,1785,600,426,720,784,414,994
ENSG00000259221.5,10,0,0,0,19,0,0,9,8,0,4,68
ENSG00000202534.1,0,0,0,0,2,0,0,0,0,0,0,1
ENSG00000231062.1,0,0,0,0,0,0,0,10,0,0,8,0
ENSG00000205693.3,8,9,0,0,0,7,5,0,0,0,0,0
ENSG00000154511.11,329,409,20,1946,1028,142,203,209,162,803,404,1648
ENSG00000253946.1,7,0,0,0,0,0,2,2,0,0,0,5
ENSG00000144504.15,540,1154,311,1047,1806,1360,985,315,682,927,190,660
ENSG00000142507.9,1024,1189,1446,2196,3289,6739,2049,1478,1003,1523,1125,1275
ENSG00000157884.10,0,0,0,5,0,0,0,0,0,0,0,8
ENSG00000197019.4,67,185,13,719,324,453,90,32,140,61,125,42
ENSG00000164116.16,353,26,0,1829,102,89,440,111,14,406,69,434
ENSG00000273305.1,3,66,58,21,65,6,35,30,33,53,20,58
ENSG00000138669.9,102,9,3247,1578,2370,9,284,68,467,978,1026,1843
ENSG00000250927.1,4,2,10,13,17,2,12,16,14,7,10,5
ENSG00000174013.7,5783,2765,1490,4155,6873,2905,2013,911,1489,3131,1726,3982
ENSG00000235110.5,4,0,0,1,2,0,0,4,0,0,5,5
ENSG00000277670.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196704.11,1185,2192,1383,7453,6198,4701,2167,848,2300,2819,1609,3100
ENSG00000251332.1,19,0,2,0,0,0,0,3,0,5,0,0
ENSG00000259235.1,0,3,0,0,0,0,8,8,14,0,5,5
ENSG00000258507.1,0,0,0,0,0,0,29,12,12,0,0,13
ENSG00000178821.12,0,38,0,110,396,0,11,3,5,20,0,100
ENSG00000244019.1,1,0,0,2,9,3,1,5,3,1,0,7
ENSG00000196126.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171115.3,27,9,0,0,0,101,163,52,29,0,16,44
ENSG00000232301.2,15,0,0,7,28,0,0,20,28,0,0,33
ENSG00000278896.1,121,119,27,6,24,36,54,183,75,29,59,142
ENSG00000227851.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225715.1,2,0,0,0,3,2,0,2,0,0,0,6
ENSG00000176928.5,47,7,4,72,1198,881,18,64,255,518,528,625
ENSG00000034239.10,78,104,0,87,104,230,466,38,26,64,21,85
ENSG00000233714.1,5,0,0,0,0,0,0,0,0,0,0,5
ENSG00000129455.15,3,0,0,0,0,0,0,0,2,0,0,0
ENSG00000240250.3,3,0,0,0,0,0,0,1,3,0,0,0
ENSG00000239519.1,9,0,0,0,0,0,0,23,0,0,0,9
ENSG00000277889.1,0,0,0,0,0,0,0,4,0,0,0,0
ENSG00000216902.3,3,0,0,0,0,0,0,3,0,0,0,0
ENSG00000165416.14,13423,8286,4457,6500,9444,11169,9488,7651,3900,9649,4188,5015
ENSG00000254672.1,0,0,0,3,0,0,0,14,1,0,3,10
ENSG00000213471.10,14,8,0,2,0,4,22,6,3,2,18,11
ENSG00000143033.17,3683,4265,1751,5076,4054,3921,2648,2101,3372,2914,2172,3951
ENSG00000257941.1,20,12,10,22,12,14,17,34,53,12,9,21
ENSG00000259956.1,4400,12595,4913,13046,17410,18806,8383,6142,5265,11928,5159,12718
ENSG00000177133.10,7,0,0,0,0,0,8,8,12,3,6,10
ENSG00000106410.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251249.1,15,0,0,0,0,0,0,31,4,0,6,5
ENSG00000267083.1,17,72,7,42,30,19,44,25,94,9,26,24
ENSG00000259847.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265243.1,3,0,0,0,0,0,0,0,0,0,0,3
ENSG00000226668.5,5,0,1,0,1,0,0,1,5,0,4,8
ENSG00000213599.10,195,551,272,266,275,812,449,199,499,112,331,151
ENSG00000268140.1,31,83,28,162,181,127,30,34,33,95,22,59
ENSG00000278987.1,78,290,72,154,129,159,136,59,156,122,43,71
ENSG00000250006.2,0,0,0,0,0,0,0,0,0,0,0,3
ENSG00000236313.1,2,0,0,0,0,0,0,13,0,0,2,0
ENSG00000250349.3,0,0,0,0,2,0,5,0,0,0,8,0
ENSG00000225352.1,5,0,0,0,0,0,0,11,2,0,0,4
ENSG00000273085.1,0,0,0,0,25,9,0,9,0,0,2,3
ENSG00000267601.1,1,2,0,0,0,0,2,12,2,0,0,7
ENSG00000245667.2,0,0,0,0,0,0,0,7,0,0,0,0
ENSG00000203818.7,189,516,98,123,1177,407,376,49,1,394,1,360
ENSG00000202050.1,0,0,0,0,0,0,0,0,0,0,0,5
ENSG00000284718.1,0,0,0,0,0,0,0,3,3,0,0,0
ENSG00000196296.13,22,104,0,2178,16,71,9,39,48,44,6,59
ENSG00000230481.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284605.1,0,0,0,0,8,0,0,0,5,0,0,0
ENSG00000185933.6,5,0,0,0,0,0,0,24,2,0,15,15
ENSG00000279123.1,0,0,0,0,0,0,0,5,2,0,2,3
ENSG00000109805.9,8921,6828,1908,7125,10685,13425,5867,4325,4864,7870,4930,4123
ENSG00000235653.1,15,3,7,0,0,7,14,22,10,3,3,11
ENSG00000254768.5,9,0,91,19,15,0,27,10,8,47,0,53
ENSG00000240489.1,888,928,554,3149,3458,1351,980,488,787,1756,707,680
ENSG00000262519.1,27,15,9,51,95,25,23,13,12,52,8,18
ENSG00000196748.9,0,0,0,0,0,0,0,2,0,12,0,0
ENSG00000225269.2,6,0,0,0,0,0,0,0,0,0,0,4
ENSG00000163975.11,64,44,14,28,141,101,96,42,28,5,20,39
ENSG00000239893.1,0,0,0,0,0,0,0,0,0,0,45,0
ENSG00000270720.1,66,73,25,38,96,71,45,7,159,34,72,71
ENSG00000127329.15,59,496,8,0,950,7,376,139,485,646,4157,3467
ENSG00000262358.1,0,5,4,1,5,3,0,9,5,0,1,3
ENSG00000250594.2,0,0,0,0,0,0,0,9,0,0,0,0
ENSG00000271148.1,7,0,0,7,38,0,7,13,0,10,5,0
ENSG00000143183.16,3186,2306,1376,5824,5911,9131,2451,2432,2367,4948,3321,7988
ENSG00000229941.5,0,0,10,0,0,0,0,5,11,0,0,0
ENSG00000251339.5,6,0,0,0,0,0,0,18,0,0,0,0
ENSG00000108774.14,1314,1989,1669,1189,2133,3000,2564,621,1801,1930,1373,1701
ENSG00000125522.3,5,0,3,0,0,0,0,4,3,0,3,0
ENSG00000183696.13,93,281,34,31,271,104,40,317,98,8,26,405
ENSG00000235944.8,27,14,10,20,51,301,94,110,149,99,12,224
ENSG00000228318.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279859.2,19,2,4,7,9,0,10,3,13,0,8,2
ENSG00000269680.1,3,0,0,0,0,0,0,10,0,0,0,0
ENSG00000222129.1,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000277022.1,0,5,2,0,0,0,0,34,6,0,12,16
ENSG00000231302.1,0,0,0,0,1,0,0,3,0,1,0,0
ENSG00000268442.1,3,0,0,0,0,0,2,7,0,0,0,4
ENSG00000244031.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268957.1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000231392.1,0,0,0,0,0,0,0,2,0,0,0,5
