gene_id,BT084,DMB012,MB002,MB511H,MED1712FH,RCMB28,RCMB32 ,RCMB40
ENSG00000178585.15|CTNNBIP1,637,798,1538,1628,3473,1768,534,1647
ENSG00000223989.1|ENSG00000223989,1,0,0,0,0,0,0,0
ENSG00000283611.2|TMEM274P,0,0,0,0,0,0,0,0
ENSG00000265521.1|MIR5697,0,0,2,1,0,0,1,0
ENSG00000241326.1|ENSG00000241326,0,0,0,0,0,0,0,0
ENSG00000162444.12|RBP7,5,0,30,287,0,6,7,0
ENSG00000130939.20|UBE4B,3661,2055,4004,6455,5094,3669,1461,3793
ENSG00000162441.12|LZIC,2161,1378,2149,2603,4789,2278,1099,2126
ENSG00000228150.1|ENSG00000228150,9,6,10,7,15,5,9,4
ENSG00000173614.14|NMNAT1,302,197,275,363,267,308,114,131
ENSG00000202415.1|RN7SKP269,10,15,10,21,27,11,10,4
ENSG00000224340.1|ENSG00000224340,3,0,0,0,0,2,6,0
ENSG00000233623.2|PGAM1P11,3,7,18,2,10,19,3,7
ENSG00000201746.1|RNU6-828P,1,0,1,2,1,3,2,2
ENSG00000251503.8|CENPS-CORT,64,19,75,46,112,0,40,60
ENSG00000175279.22|CENPS,267,68,758,671,711,148,71,300
ENSG00000160049.12|DFFA,2655,1305,3618,5976,3777,1988,1430,2986
ENSG00000271989.1|ENSG00000271989,3,2,3,4,12,10,5,0
ENSG00000241563.4|CORT,8,7,38,22,22,31,5,3
ENSG00000203469.2|ENSG00000203469,1,1,1,1,1,1,1,0
ENSG00000142655.13|PEX14,551,206,796,1092,828,346,176,674
ENSG00000287727.1|ENSG00000287727,4,0,0,0,0,0,0,0
ENSG00000243267.3|RN7SL614P,4,4,4,0,4,4,3,2
ENSG00000130940.15|CASZ1,340,328,2558,1493,70,383,138,1280
ENSG00000272078.1|ENSG00000272078,33,9,7,0,0,0,54,0
ENSG00000225158.2|HSPE1P24,2,0,0,0,0,0,9,0
ENSG00000054523.20|KIF1B,11991,15259,11639,24373,22651,38033,10460,20497
ENSG00000264881.1|ENSG00000264881,0,1,1,4,2,6,3,0
ENSG00000284735.1|ENSG00000284735,8,3,2,3,3,2,16,6
ENSG00000284642.1|ENSG00000284642,47,102,63,132,67,233,59,202
ENSG00000142657.21|PGD,5821,2580,11745,9139,13781,2942,2223,5787
ENSG00000199562.1|RNU6-37P,40,36,45,46,129,53,40,32
ENSG00000264501.2|RN7SL731P,2,2,1,5,2,1,1,3
ENSG00000116649.10|SRM,1494,490,3370,3406,1307,678,305,1982
ENSG00000175262.15|C1orf127,11,10,0,0,0,5,49,0
ENSG00000215785.2|CFL1P6,0,0,0,0,0,6,3,0
ENSG00000120948.19|TARDBP,6389,2915,8227,8594,8822,4639,3509,6122
ENSG00000009724.18|MASP2,28,13,44,16,0,0,17,3
